## Hebr  azbyka.ru/biblia/?Hebr.X&utfcs
# Heb 1
1:1	[Заⷱ҇ 303] Многоча́стнѣ и҆ многоѡбра́знѣ дре́вле бг҃ъ гл҃авый ѻ҆тцє́мъ во прⷪ҇ро́цѣхъ,
11:40	бг҃ꙋ лꙋ́чшее что̀ ѡ҆ на́съ предзрѣ́вшꙋ, да не без̾ на́съ соверше́нство прїи́мꙋтъ.

# Heb 12
12:1	[Заⷱ҇ 331] Тѣ́мже ᲂу҆̀бо и҆ мы̀, толи́къ и҆мꙋ́ще ѡ҆блежа́щь на́съ ѡ҆́блакъ свидѣ́телей, го́рдость всѧ́кꙋ {бре́мѧ всѧ́ко} ѿло́жше и҆ ᲂу҆до́бь ѡ҆бстоѧ́тельный грѣ́хъ, терпѣ́нїемъ да тече́мъ на предлежа́щїй на́мъ по́двигъ,
12:2	взира́юще на нача́льника вѣ́ры и҆ соверши́телѧ і҆и҃са, и҆́же вмѣ́стѡ предлежа́щїѧ є҆мꙋ̀ ра́дости претерпѣ̀ крⷭ҇тъ, ѡ҆ срамотѣ̀ неради́въ, ѡ҆деснꙋ́ю же прⷭ҇то́ла бж҃їѧ сѣ́де.
12:3	Помы́слите ᲂу҆̀бо таково́е пострада́вшаго ѿ грѣ̑шникъ на себѐ прекосло́вїе, да не стꙋжа́ете, дꙋша́ми свои́ми ѡ҆слаблѧ́еми.
12:4	Не ᲂу҆̀ до кро́ве ста́сте, проти́вꙋ грѣха̀ подвиза́ющесѧ,
12:5	и҆ забы́сте ᲂу҆тѣше́нїе, є҆́же ва́мъ ꙗ҆́кѡ сынѡ́мъ глаго́летъ: сы́не мо́й, не пренемога́й наказа́нїемъ гдⷭ҇нимъ, нижѐ ѡ҆слабѣ́й, ѿ негѡ̀ ѡ҆блича́емь.
12:6	Є҆го́же бо лю́битъ гдⷭ҇ь, наказꙋ́етъ: бїе́тъ же всѧ́каго сы́на, є҆го́же прїе́млетъ.
12:7	А҆́ще наказа́нїе терпитѐ, ꙗ҆́коже сыновѡ́мъ ѡ҆брѣта́етсѧ ва́мъ бг҃ъ. Кото́рый бо є҆́сть сы́нъ, є҆гѡ́же не наказꙋ́етъ ѻ҆те́цъ;
12:8	А҆́ще же без̾ наказа́нїѧ є҆стѐ, є҆мꙋ́же прича̑стницы бы́ша всѝ, ᲂу҆̀бо прелюбодѣ̑йчищи є҆стѐ, а҆ не сы́нове.
12:9	Къ си̑мъ, пло́ти на́шей ѻ҆тцы̀ и҆мѣ́хомъ наказа́тєли, и҆ срамлѧ́хомсѧ: не мно́гѡ ли па́че повине́мсѧ ѻ҆ц҃ꙋ̀ дꙋховѡ́мъ, и҆ жи́ви бꙋ́демъ;
12:10	Ѻ҆ни́ бо въ ма́ло дні́й, ꙗ҆́коже го́дѣ и҆̀мъ бѣ̀, нака́зовахꙋ на́съ: а҆ се́й на по́льзꙋ, да причасти́мсѧ ст҃ы́ни є҆гѡ̀.
12:11	Всѧ́кое бо наказа́нїе въ настоѧ́щее вре́мѧ не мни́тсѧ ра́дость бы́ти, но печа́ль: послѣди́ же пло́дъ ми́ренъ наꙋчє́нымъ тѣ́мъ воздае́тъ пра́вды.
12:12	Тѣ́мже ѡ҆сла́блєнныѧ рꙋ́ки и҆ ѡ҆сла́блєннаѧ колѣ̑на и҆спра́вите
12:13	и҆ стєзѝ пра̑вы сотвори́те нога́ми ва́шими, да не хро́мое соврати́тсѧ, но па́че да и҆сцѣлѣ́етъ.
12:14	[Заⷱ҇ 332] Ми́ръ и҆мѣ́йте и҆ ст҃ы́ню со всѣ́ми, и҆́хже кромѣ̀ никто́же ᲂу҆́зритъ гдⷭ҇а:
12:15	смотрѧ́юще, да не кто̀ лиши́тсѧ блгⷣти бж҃їѧ: да не кі́й ко́рень го́рести, вы́спрь прозѧба́ѧй, па́кость сотвори́тъ, и҆ тѣ́мъ ѡ҆сквернѧ́тсѧ мно́зи:
12:16	да не кто̀ блꙋдодѣ́й, и҆лѝ скверни́тель, ꙗ҆́коже и҆са́ѵъ, и҆́же за ꙗ҆́дь є҆ди́нꙋ ѿда́лъ є҆́сть перворо́дство своѐ.
12:17	Вѣ́сте бо, ꙗ҆́кѡ и҆ пото́мъ похотѣ́въ наслѣ́довати блгⷭ҇ве́нїе, ѿве́рженъ бы́сть: покаѧ́нїѧ бо мѣ́ста не ѡ҆брѣ́те, а҆́ще и҆ со слеза́ми поиска́лъ є҆гѡ̀.
12:18	Не пристꙋпи́сте бо къ горѣ̀ ѡ҆сѧза́емѣй и҆ разгорѣ́вшемꙋсѧ ѻ҆гню̀, и҆ ѡ҆́блакꙋ и҆ сꙋмра́кꙋ, и҆ бꙋ́рѣ
12:19	и҆ трꙋ́бномꙋ звꙋ́кꙋ, и҆ гла́сꙋ гл҃гѡ́лъ, є҆гѡ́же слы́шавшїи ѿреко́шасѧ, да не приложи́тсѧ и҆̀мъ сло́во,
12:20	не терпѧ́хꙋ бо повелѣва́ющагѡ: а҆́ще и҆ ѕвѣ́рь прико́снетсѧ горѣ̀, ка́менїемъ побїе́нъ бꙋ́детъ:
12:21	и҆ та́кѡ стра́шно бѣ̀ ви́димое, мѡѷсе́й речѐ: пристра́шенъ є҆́смь и҆ тре́петенъ.
12:22	Но пристꙋпи́сте къ сїѡ́нстѣй горѣ̀ и҆ ко гра́дꙋ бг҃а жива́гѡ, і҆ерⷭ҇ли́мꙋ нбⷭ҇номꙋ и҆ тьма́мъ а҆́гг҃лѡвъ,
12:23	торжествꙋ̀ и҆ цр҃кви перворо́дныхъ на нб҃сѣ́хъ напи́санныхъ, и҆ сꙋдїѝ всѣ́хъ бг҃ꙋ и҆ дꙋхѡ́мъ првⷣникъ соверше́нныхъ,
12:24	и҆ къ хода́таю завѣ́та но́вагѡ і҆и҃сꙋ и҆ кро́ви кропле́нїѧ, лꙋ́чше глаго́лющей, не́жели а҆́велева.
12:25	[Заⷱ҇ 333] Блюди́те (же), да не ѿрече́тесѧ гл҃ющагѡ. А҆́ще бо не и҆збѣжа́ша ѻ҆нѝ ѿре́кшїисѧ прⷪ҇ро́чествꙋющагѡ на землѝ, мно́жае па́че мы̀ ѿрица́ющїисѧ нбⷭ҇нагѡ,
12:26	є҆гѡ́же гла́съ зе́млю тогда̀ поколеба̀, нн҃ѣ же ѡ҆бѣтова̀, гл҃ѧ: є҆щѐ є҆ди́ною а҆́зъ потрѧсꙋ̀ не то́кмѡ земле́ю, но и҆ нб҃омъ.
12:27	А҆ є҆́же є҆щѐ є҆ди́ною, сказꙋ́етъ коле́блемыхъ преложе́нїе, а҆́ки сотворе́нныхъ, да пребꙋ́дꙋтъ, ꙗ҆̀же сꙋ́ть неподви̑жимаѧ.
12:28	Тѣ́мже црⷭ҇тво непоколеби́мо прїе́млюще, да и҆́мамы блгⷣть, є҆́юже слꙋ́жимъ бл҃гоꙋго́днѡ бг҃ꙋ съ бл҃гоговѣ́нїемъ и҆ стра́хомъ,
12:29	и҆́бо бг҃ъ на́шъ ѻ҆́гнь поѧда́ѧй (є҆́сть).

# Heb 13
13:1	Братолю́бїе да пребыва́етъ:
13:2	страннолю́бїѧ не забыва́йте, тѣ́мъ бо не вѣ́дѧще нѣ́цыи страннопрїѧ́ша а҆́гг҃лы.
13:3	Помина́йте ю҆́зники, а҆́ки съ ни́ми свѧ́зани: ѡ҆ѕлоблѧ́ємыѧ, а҆́ки и҆ са́ми сꙋ́ще въ тѣ́лѣ.
13:4	Честна̀ жени́тва во всѣ́хъ и҆ ло́же нескве́рно: блꙋдникѡ́мъ же и҆ прелюбодѣ́ємъ сꙋ́дитъ бг҃ъ.
13:5	Не сребролю́бцы нра́вомъ, дово́льни сꙋ́щими. То́й бо речѐ: не и҆́мамъ тебѐ ѡ҆ста́вити, нижѐ и҆́мамъ ѿ тебє̀ ѿстꙋпи́ти:
13:6	ꙗ҆́кѡ дерза́ющымъ на́мъ глаго́лати: гдⷭ҇ь мнѣ̀ помо́щникъ, и҆ не ᲂу҆бою́сѧ: что̀ сотвори́тъ мнѣ̀ человѣ́къ;
13:7	[Заⷱ҇ 334] Помина́йте наста́вники ва́шѧ, и҆̀же глаго́лаша ва́мъ сло́во бж҃їе: и҆́хже взира́юще на сконча́нїе жи́тельства, подража́йте вѣ́рѣ (и҆́хъ).
13:8	І҆и҃съ хрⷭ҇то́съ вчера̀ и҆ дне́сь то́йже, и҆ во вѣ́ки.
13:9	Въ наꙋчє́нїѧ стра̑нна и҆ разли̑чна не прилага́йтесѧ: добро́ бо блгⷣтїю ᲂу҆твержда́ти сердца̀, (а҆) не бра́шны, ѿ ни́хже не прїѧ́ша по́льзы ходи́вшїи въ ни́хъ.
13:10	И҆́мамы (же) ѻ҆лта́рь, ѿ негѡ́же не и҆́мꙋтъ вла́сти ꙗ҆́сти слꙋжа́щїи сѣ́ни.
13:11	И҆́хже бо кро́вь живо́тныхъ вно́ситсѧ во ст҃а̑ѧ за грѣхѝ первосвѧще́нникомъ, си́хъ тѣлеса̀ сжига́ютсѧ внѣ̀ ста́на:
13:12	тѣ́мже і҆и҃съ, да ѡ҆ст҃и́тъ лю́ди свое́ю кро́вїю, внѣ̀ вра́тъ пострада́ти и҆зво́лилъ.
13:13	Тѣ́мже ᲂу҆̀бо да и҆схо́димъ къ немꙋ̀ внѣ̀ ста́на, поноше́нїе є҆гѡ̀ носѧ́ще:
13:14	не и҆́мамы бо здѣ̀ пребыва́ющагѡ гра́да, но грѧдꙋ́щагѡ взыскꙋ́емъ.
13:15	Тѣ́мъ ᲂу҆̀бо прино́симъ же́ртвꙋ хвале́нїѧ вы́нꙋ бг҃ꙋ, си́рѣчь пло́дъ ᲂу҆сте́нъ и҆сповѣ́дающихсѧ и҆́мени є҆гѡ̀.
13:16	Бл҃готворе́нїѧ же и҆ ѻ҆бще́нїѧ не забыва́йте: таковы́ми бо же́ртвами бл҃гоꙋгожда́етсѧ бг҃ъ.
13:17	[Заⷱ҇ 335] Повинꙋ́йтесѧ наста́вникѡмъ ва́шымъ и҆ покарѧ́йтесѧ: ті́и бо бдѧ́тъ ѡ҆ дꙋша́хъ ва́шихъ, ꙗ҆́кѡ сло́во возда́ти хотѧ́ще: да съ ра́достїю сїѐ творѧ́тъ, а҆ не воздыха́юще, нѣ́сть бо поле́зно ва́мъ сїѐ.
13:18	Моли́тесѧ ѡ҆ на́съ: ᲂу҆пова́емъ бо, ꙗ҆́кѡ добрꙋ̀ со́вѣсть и҆́мамы, во всѣ́хъ до́брѣ хотѧ́ще жи́ти.
13:19	Ли́шше же молю̀, сїѐ твори́те, да вско́рѣ ᲂу҆стро́юсѧ ва́мъ {возвращꙋ́сѧ къ ва́мъ}.
13:20	Бг҃ъ же ми́ра, возведы́й и҆з̾ ме́ртвыхъ па́стырѧ ѻ҆вца́мъ вели́каго кро́вїю завѣ́та вѣ́чнагѡ, гдⷭ҇а на́шего і҆и҃са хрⷭ҇та̀,
13:21	да соверши́тъ вы̀ во всѧ́цѣмъ дѣ́лѣ бл҃зѣ, сотвори́ти во́лю є҆гѡ̀, творѧ̀ въ ва́съ бл҃гоꙋго́дное пред̾ ни́мъ і҆и҃съ хрⷭ҇то́мъ: є҆мꙋ́же сла́ва во вѣ́ки вѣкѡ́въ. А҆ми́нь.
13:22	Молю́ же вы̀, бра́тїе, прїими́те сло́во ᲂу҆тѣше́нїѧ: и҆́бо вма́лѣ написа́въ посла́хъ ва́мъ.
13:23	Зна́йте бра́та на́шего ѿпꙋще́на тїмоѳе́а, съ ни́мже, а҆́ще скорѣ́е прїи́детъ, ᲂу҆зрю̀ ва́съ.
13:24	Цѣлꙋ́йте всѧ̑ наста́вники ва́шѧ и҆ всѧ̑ ст҃ы̑ѧ. Цѣлꙋ́ютъ вы̀ и҆̀же ѿ і҆талі́и сꙋ́щїи.
13:25	Блгⷣть со всѣ́ми ва́ми. А҆ми́нь.

